sequence,iso,unix,euid,ranging,fpAmp1,fpAmp2,fpAmp3,ldeThreshold,maxGrowthCIR,stdNoise,preamCount,timeouts,rxmsgs
56,2016-03-02 20:19:53.941728,1456946393.941728,DECA020000000002,1.141879,14142,14583,14800,1609,7393,68,238,0,2762
56,2016-03-02 20:19:53.957328,1456946393.957328,DECA020000000003,1.097939,13050,15454,13161,1333,6244,52,233,0,2764
57,2016-03-02 20:19:53.988528,1456946393.988528,DECA020000000002,1.131325,14494,15452,14965,1650,7656,64,236,0,2766
57,2016-03-02 20:19:53.988528,1456946393.988528,DECA020000000003,1.076833,14492,16008,13906,1340,7166,52,244,0,2768
58,2016-03-02 20:19:54.019728,1456946394.019728,DECA020000000002,1.114909,15194,16165,14415,1709,8066,64,240,0,2770
58,2016-03-02 20:19:54.019728,1456946394.019728,DECA020000000003,1.096767,13913,15872,13544,1191,6701,44,235,0,2772
59,2016-03-02 20:19:54.050928,1456946394.050928,DECA020000000002,1.117873,14528,15609,14842,1743,7678,68,236,0,2774
59,2016-03-02 20:19:54.066528,1456946394.066528,DECA020000000003,1.080351,14099,15886,13641,1234,6859,48,237,0,2776
60,2016-03-02 20:19:54.082128,1456946394.082128,DECA020000000002,1.114909,14099,15646,14808,1546,7899,60,236,0,2778
60,2016-03-02 20:19:54.097728,1456946394.097728,DECA020000000003,1.069797,13142,16187,14824,1389,7035,52,239,0,2780
61,2016-03-02 20:19:54.113328,1456946394.113328,DECA020000000002,1.110219,14829,15704,15452,1754,7986,68,242,0,2782
61,2016-03-02 20:19:54.128928,1456946394.128928,DECA020000000003,1.102630,14585,16258,13879,1379,7005,52,240,0,2784
62,2016-03-02 20:19:54.144528,1456946394.144528,DECA020000000002,1.119599,15810,14773,8212,1647,7395,64,238,0,2786
62,2016-03-02 20:19:54.160128,1456946394.160128,DECA020000000003,1.094422,13193,14395,12881,1230,6118,52,232,0,2788
63,2016-03-02 20:19:54.175728,1456946394.175728,DECA020000000002,1.137188,15030,16047,12899,1712,7888,64,238,0,2790
63,2016-03-02 20:19:54.191328,1456946394.191328,DECA020000000003,1.039310,8988,15188,14802,1323,6079,52,228,0,2792
64,2016-03-02 20:19:54.206928,1456946394.206928,DECA020000000002,1.151259,14973,15187,12457,1487,7832,60,237,0,2794
64,2016-03-02 20:19:54.222528,1456946394.222528,DECA020000000003,1.062762,13949,16228,14361,1487,7144,56,239,0,2796
65,2016-03-02 20:19:54.253728,1456946394.253728,DECA020000000002,1.152432,14749,15726,15450,1651,8038,64,240,0,2798
65,2016-03-02 20:19:54.253728,1456946394.253728,DECA020000000003,1.106148,14353,15202,11942,1231,6054,48,228,0,2800
66,2016-03-02 20:19:54.284928,1456946394.284928,DECA020000000002,1.116701,14601,15431,15130,1645,8044,64,239,0,2802
66,2016-03-02 20:19:54.284928,1456946394.284928,DECA020000000003,1.075660,14195,15010,10479,1137,5944,44,233,0,2804
67,2016-03-02 20:19:54.316128,1456946394.316128,DECA020000000002,1.114909,14236,15514,14923,1649,7641,64,236,0,2806
67,2016-03-02 20:19:54.316128,1456946394.316128,DECA020000000003,1.044000,15248,15057,9884,1433,6323,56,232,0,2808
68,2016-03-02 20:19:54.347328,1456946394.347328,DECA020000000002,1.139533,14941,15091,14699,1676,7759,68,237,0,2810
68,2016-03-02 20:19:54.362928,1456946394.362928,DECA020000000003,1.063934,12366,15801,14264,1233,6610,48,236,0,2812
69,2016-03-02 20:19:54.378528,1456946394.378528,DECA020000000002,1.125462,13395,15770,14410,1551,7550,60,238,0,2814
69,2016-03-02 20:19:54.394128,1456946394.394128,DECA020000000003,1.055726,8404,15498,15362,1134,6434,44,234,0,2816
70,2016-03-02 20:19:54.409729,1456946394.409729,DECA020000000002,1.141879,14432,15459,11652,1744,7156,68,236,0,2818
70,2016-03-02 20:19:54.425329,1456946394.425329,DECA020000000003,1.076833,14675,15911,13323,1236,6877,48,238,0,2820
71,2016-03-02 20:19:54.440929,1456946394.440929,DECA020000000002,1.138361,14094,15194,13824,1554,7273,60,234,0,2822
