sequence,iso,unix,euid,ranging,fpAmp1,fpAmp2,fpAmp3,ldeThreshold,maxGrowthCIR,stdNoise,preamCount,timeouts,rxmsgs
69,2016-03-09 09:21:40.909109,1457511700.909109,DECA020000000002,25.360496,1581,4529,5295,538,476,36,239,1,2577
69,2016-03-09 09:21:40.919109,1457511700.919109,DECA020000000003,23.138439,2727,5741,5494,486,603,32,228,1,2579
70,2016-03-09 09:21:40.939109,1457511700.939109,DECA020000000002,25.352288,2848,5153,4090,426,426,28,239,1,2581
70,2016-03-09 09:21:40.949109,1457511700.949109,DECA020000000003,23.146647,2610,5618,5812,540,638,36,236,1,2583
71,2016-03-09 09:21:40.969109,1457511700.969109,DECA020000000002,25.330008,2638,5189,4102,587,422,40,237,1,2585
71,2016-03-09 09:21:40.989109,1457511700.989109,DECA020000000003,23.186515,1441,5011,5861,541,576,36,231,1,2587
72,2016-03-09 09:21:41.009109,1457511701.009109,DECA020000000002,25.358150,2119,4589,4303,537,384,36,230,1,2589
72,2016-03-09 09:21:41.019109,1457511701.019109,DECA020000000003,23.138439,1932,5123,5722,536,575,36,232,1,2591
73,2016-03-09 09:21:41.039109,1457511701.039109,DECA020000000002,25.373394,1912,4663,4672,533,421,36,236,1,2593
73,2016-03-09 09:21:41.059109,1457511701.059109,DECA020000000003,23.163063,2668,5562,5427,486,582,32,230,1,2595
74,2016-03-09 09:21:41.069109,1457511701.069109,DECA020000000002,25.356978,2506,5117,4384,480,431,32,232,1,2597
74,2016-03-09 09:21:41.089109,1457511701.089109,DECA020000000003,23.172444,4343,5914,4048,485,565,32,232,1,2599
75,2016-03-09 09:21:41.109109,1457511701.109109,DECA020000000002,25.334699,2055,4880,4520,481,412,32,233,1,2601
75,2016-03-09 09:21:41.119109,1457511701.119109,DECA020000000003,23.144302,1511,5127,5879,488,588,32,235,1,2603
76,2016-03-09 09:21:41.139109,1457511701.139109,DECA020000000002,25.338216,2785,5113,4080,479,420,32,231,1,2605
76,2016-03-09 09:21:41.149109,1457511701.149109,DECA020000000003,23.129058,2553,5149,4719,477,475,32,232,1,2607
77,2016-03-09 09:21:41.169109,1457511701.169109,DECA020000000002,25.351115,3923,4750,2788,536,381,36,232,1,2609
77,2016-03-09 09:21:41.189109,1457511701.189109,DECA020000000003,23.124368,2482,5429,5335,482,565,32,234,1,2611
78,2016-03-09 09:21:41.209109,1457511701.209109,DECA020000000002,25.347597,2265,5050,4492,537,437,36,236,1,2613
78,2016-03-09 09:21:41.219109,1457511701.219109,DECA020000000003,23.131404,1810,4937,5446,535,530,36,234,1,2615
79,2016-03-09 09:21:41.239109,1457511701.239109,DECA020000000002,25.318282,2323,4891,4414,531,416,36,237,1,2617
79,2016-03-09 09:21:41.249109,1457511701.249109,DECA020000000003,23.126713,3736,5253,3852,430,464,28,232,1,2619
80,2016-03-09 09:21:41.269109,1457511701.269109,DECA020000000002,25.334699,2175,4769,4611,480,427,32,236,1,2621
80,2016-03-09 09:21:41.279109,1457511701.279109,DECA020000000003,23.165409,2086,5499,6125,539,653,36,236,1,2623
81,2016-03-09 09:21:41.309110,1457511701.30911,DECA020000000002,25.354633,2420,4933,4632,430,449,28,235,1,2625
81,2016-03-09 09:21:41.319110,1457511701.31911,DECA020000000003,23.125541,4886,5903,3734,535,604,36,237,1,2627
82,2016-03-09 09:21:41.339110,1457511701.33911,DECA020000000002,25.344079,1883,4406,4266,536,364,36,235,1,2629
82,2016-03-09 09:21:41.349110,1457511701.34911,DECA020000000003,23.119678,2229,5624,6033,538,661,36,233,1,2631
83,2016-03-09 09:21:41.369110,1457511701.36911,DECA020000000002,25.321800,2659,5252,4565,480,472,32,240,1,2633
83,2016-03-09 09:21:41.379110,1457511701.37911,DECA020000000003,23.103261,2951,5235,4406,427,467,28,231,1,2635
84,2016-03-09 09:21:41.409110,1457511701.40911,DECA020000000002,25.297176,2346,5035,4387,427,419,28,238,1,2637
84,2016-03-09 09:21:41.419110,1457511701.41911,DECA020000000003,23.097398,2230,4579,4826,485,442,32,226,1,2639
85,2016-03-09 09:21:41.439110,1457511701.43911,DECA020000000002,25.331181,3275,5302,3793,538,439,36,239,1,2641
85,2016-03-09 09:21:41.449110,1457511701.44911,DECA020000000003,23.118505,3271,5817,4925,536,565,36,230,1,2643
86,2016-03-09 09:21:41.469110,1457511701.46911,DECA020000000002,25.344079,3379,4983,3277,535,386,36,230,1,2645
86,2016-03-09 09:21:41.479110,1457511701.47911,DECA020000000003,23.138439,1805,4533,4953,485,441,32,226,1,2647
87,2016-03-09 09:21:41.509110,1457511701.50911,DECA020000000002,25.326491,2198,4897,4247,481,402,32,234,1,2649
87,2016-03-09 09:21:41.519110,1457511701.51911,DECA020000000003,23.114987,4062,5384,3406,485,464,32,231,1,2651
88,2016-03-09 09:21:41.539110,1457511701.53911,DECA020000000002,25.312419,3827,5206,3303,490,428,32,235,1,2653
